PA_POP,Days after 10-01-2020,Confirmed,Deaths,Recovered,Active
12801989,209,1147310,25996,,
12801989,210,1151189,26068,,
12801989,211,1154559,26128,,
12801989,212,1158361,26176,,
12801989,213,1162826,26209,,
12801989,214,1165926,26239,,
12801989,215,1168402,26258,,
12801989,216,1170072,26274,,
12801989,217,1173383,26325,,
12801989,218,1176190,26374,,
12801989,219,1178659,26434,,
12801989,220,1181736,26470,,
12801989,221,1184331,26501,,
12801989,222,1185639,26510,,
12801989,223,1186648,26545,,
12801989,224,1189316,26594,,
12801989,225,1191476,26626,,
12801989,226,1193603,26684,,
12801989,227,1195471,26706,,
12801989,228,1197458,26727,,
12801989,229,1198528,26780,,
12801989,230,1199342,26814,,
12801989,231,1201307,26844,,
12801989,232,1202582,26887,,
12801989,233,1204008,26938,,
12801989,234,1206055,26958,,
12801989,235,1207439,26995,,
12801989,236,1208399,27004,,
12801989,237,1209033,27027,,
12801989,238,1210274,27060,,
12801989,239,1211394,27092,,
12801989,240,1212412,27143,,
12801989,241,1213478,27188,,
12801989,242,1214320,27203,,
12801989,243,1214836,27209,,
12801989,244,1215257,27214,,
12801989,245,1215767,27214,,
12801989,246,1216545,27259,,
12801989,247,1217181,27295,,
12801989,248,1218006,27325,,
12801989,249,1218672,27343,,
12801989,250,1219067,27348,,
12801989,251,1219310,27360,,
12801989,252,1219970,27395,,
12801989,253,1220418,27417,,
12801989,254,1221014,27438,,
12801989,255,1221476,27457,,
12801989,256,1221847,27465,,
12801989,257,1222049,27479,,
12801989,258,1222229,27490,,
12801989,259,1222699,27514,,
12801989,260,1222981,27531,,
12801989,261,1223314,27546,,
12801989,262,1223619,27559,,
12801989,263,1223873,27559,,
12801989,264,1224005,27566,,
12801989,265,1224122,27568,,
12801989,266,1224387,27604,,
12801989,267,1224635,27612,,
12801989,268,1224861,27627,,
12801989,269,1225073,27636,,
12801989,270,1225277,27642,,
12801989,271,1225415,27651,,
12801989,272,1225507,27657,,
12801989,273,1225708,27670,,
12801989,274,1225900,27678,,
12801989,275,1226091,27687,,
12801989,276,1226270,27695,,
12801989,277,1226504,27704,,
12801989,278,1226653,27706,,
12801989,279,1226776,27706,,
12801989,280,1226882,27708,,
12801989,281,1227087,27718,,
12801989,282,1227346,27729,,
12801989,283,1227591,27736,,
12801989,284,1227864,27743,,
12801989,285,1228067,27746,,
12801989,286,1228204,27750,,
12801989,287,1228558,27759,,
12801989,288,1228878,27772,,
12801989,289,1229309,27782,,
12801989,290,1229749,27786,,
12801989,291,1230193,27790,,
12801989,292,1230534,27792,,
12801989,293,1230781,27795,,
12801989,294,1231385,27805,,
12801989,295,1231954,27813,,
12801989,296,1232541,27819,,
12801989,297,1233193,27820,,
12801989,298,1233860,27823,,
12801989,299,1234457,27827,,
12801989,300,1234892,27827,,
12801989,301,1235964,27831,,
12801989,302,1236785,27838,,
12801989,303,1237865,27842,,
12801989,304,1238917,27850,,
12801989,305,1240105,27850,,
12801989,306,1241100,27856,,
12801989,307,1241990,27857,,
12801989,308,1243563,27868,,
12801989,309,1245004,27883,,
12801989,310,1246853,27890,,
12801989,311,1248599,27898,,
12801989,312,1250303,27900,,
12801989,313,1251575,27900,,
12801989,314,1252686,27903,,
12801989,315,1254821,27914,,
